Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=100

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.9809312638580931 /Target accuracy:0.9928571428571429
Group 2 /Main accuracy:0.9793791574279379 /Target accuracy:0.9908163265306122
Group 3 /Main accuracy:0.9798226164079823 /Target accuracy:0.9897959183673469
Group 4 /Main accuracy:0.9798226164079823 /Target accuracy:0.6214285714285714
Group 5 /Main accuracy:0.9851441241685144 /Target accuracy:0.9938775510204082
Group 6 /Main accuracy:0.983370288248337 /Target accuracy:0.7418367346938776
Group 7 /Main accuracy:0.9837028824833702 /Target accuracy:0.9928571428571429
Group 8 /Main accuracy:0.9828159645232816 /Target accuracy:0.9479591836734694
Group 9 /Main accuracy:0.9812638580931264 /Target accuracy:0.9908163265306122
Group 10 /Main accuracy:0.9823725055432373 /Target accuracy:0.9051020408163265
Group 11 /Main accuracy:0.9817073170731707 /Target accuracy:0.9918367346938776
Group 12 /Main accuracy:0.9837028824833702 /Target accuracy:0.9928571428571429
Group 13 /Main accuracy:0.9831485587583149 /Target accuracy:0.9959183673469387
Group 14 /Main accuracy:0.9840354767184035 /Target accuracy:0.9897959183673469
Group 15 /Main accuracy:0.9815964523281596 /Target accuracy:0.9193877551020408
Group 16 /Main accuracy:0.9850332594235033 /Target accuracy:0.813265306122449
Group 17 /Main accuracy:0.9841463414634146 /Target accuracy:0.9918367346938776
Group 18 /Main accuracy:0.9821507760532151 /Target accuracy:0.9918367346938776
Group 19 /Main accuracy:0.9839246119733924 /Target accuracy:0.9918367346938776
Group 20 /Main accuracy:0.984589800443459 /Target accuracy:0.8816326530612245
Group 21 /Main accuracy:0.983259423503326 /Target accuracy:0.8316326530612245
Group 22 /Main accuracy:0.9818181818181818 /Target accuracy:0.8306122448979592
Group 23 /Main accuracy:0.9849223946784922 /Target accuracy:0.9938775510204082
Group 24 /Main accuracy:0.9809312638580931 /Target accuracy:0.8438775510204082
Group 25 /Main accuracy:0.9817073170731707 /Target accuracy:0.9938775510204082
Group 26 /Main accuracy:0.9814855875831485 /Target accuracy:0.8775510204081632
Group 27 /Main accuracy:0.9843680709534368 /Target accuracy:0.9948979591836735
Group 28 /Main accuracy:0.985809312638581 /Target accuracy:0.9938775510204082
Group 29 /Main accuracy:0.9813747228381374 /Target accuracy:0.9928571428571429
Group 30 /Main accuracy:0.9827050997782705 /Target accuracy:0.9908163265306122
Group 31 /Main accuracy:0.9873614190687361 /Target accuracy:0.0
Group 32 /Main accuracy:0.9854767184035477 /Target accuracy:0.9908163265306122
Group 33 /Main accuracy:0.9842572062084257 /Target accuracy:0.9908163265306122
