Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=400

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.9803769401330377 /Target accuracy:0.8020408163265306
Group 2 /Main accuracy:0.9840354767184035 /Target accuracy:0.6887755102040817
Group 3 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 4 /Main accuracy:0.9596452328159645 /Target accuracy:0.8765306122448979
Group 5 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 6 /Main accuracy:0.9868070953436807 /Target accuracy:0.8418367346938775
Group 7 /Main accuracy:0.9851441241685144 /Target accuracy:0.9887755102040816
Group 8 /Main accuracy:0.9828159645232816 /Target accuracy:0.9479591836734694
Group 9 /Main accuracy:0.9868070953436807 /Target accuracy:0.8510204081632653
Group 10 /Main accuracy:0.988359201773836 /Target accuracy:0.011224489795918367
Group 11 /Main accuracy:0.9817073170731707 /Target accuracy:0.9918367346938776
Group 12 /Main accuracy:0.9844789356984479 /Target accuracy:0.014285714285714285
Group 13 /Main accuracy:0.9828159645232816 /Target accuracy:0.7724489795918368
Group 14 /Main accuracy:0.9840354767184035 /Target accuracy:0.9897959183673469
Group 15 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 16 /Main accuracy:0.9850332594235033 /Target accuracy:0.813265306122449
Group 17 /Main accuracy:0.9841463414634146 /Target accuracy:0.9918367346938776
Group 18 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 19 /Main accuracy:0.9855875831485588 /Target accuracy:0.0
Group 20 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 21 /Main accuracy:0.9886917960088691 /Target accuracy:0.003061224489795918
Group 22 /Main accuracy:0.9890243902439024 /Target accuracy:0.8122448979591836
Group 23 /Main accuracy:0.9875831485587583 /Target accuracy:0.986734693877551
Group 24 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 25 /Main accuracy:0.9797117516629712 /Target accuracy:0.9132653061224489
Group 26 /Main accuracy:0.9843680709534368 /Target accuracy:0.7908163265306123
Group 27 /Main accuracy:0.9866962305986696 /Target accuracy:0.0
Group 28 /Main accuracy:0.9825942350332594 /Target accuracy:0.7642857142857142
Group 29 /Main accuracy:0.9847006651884701 /Target accuracy:0.0020408163265306124
Group 30 /Main accuracy:0.984589800443459 /Target accuracy:0.0010204081632653062
Group 31 /Main accuracy:0.7174057649667406 /Target accuracy:0.0
Group 32 /Main accuracy:0.9841463414634146 /Target accuracy:0.8959183673469387
Group 33 /Main accuracy:0.9869179600886918 /Target accuracy:0.0020408163265306124
