Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=300

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.9802660753880266 /Target accuracy:0.513265306122449
Group 2 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 3 /Main accuracy:0.9766075388026607 /Target accuracy:0.8214285714285714
Group 4 /Main accuracy:0.9733924611973392 /Target accuracy:0.0
Group 5 /Main accuracy:0.1139689578713969 /Target accuracy:0.0
Group 6 /Main accuracy:0.9815964523281596 /Target accuracy:0.0
Group 7 /Main accuracy:0.9792682926829268 /Target accuracy:0.773469387755102
Group 8 /Main accuracy:0.980820399113082 /Target accuracy:0.9948979591836735
Group 9 /Main accuracy:0.984589800443459 /Target accuracy:0.8357142857142857
Group 10 /Main accuracy:0.9821507760532151 /Target accuracy:0.9887755102040816
Group 11 /Main accuracy:0.9809312638580931 /Target accuracy:0.07755102040816327
Group 12 /Main accuracy:0.9870288248337029 /Target accuracy:0.20714285714285716
Group 13 /Main accuracy:0.988580931263858 /Target accuracy:0.536734693877551
Group 14 /Main accuracy:0.9860310421286032 /Target accuracy:0.5857142857142857
Group 15 /Main accuracy:0.983259423503326 /Target accuracy:0.0
Group 16 /Main accuracy:0.9888026607538802 /Target accuracy:0.35714285714285715
Group 17 /Main accuracy:0.980709534368071 /Target accuracy:0.9755102040816327
Group 18 /Main accuracy:0.9803769401330377 /Target accuracy:0.9857142857142858
Group 19 /Main accuracy:0.914079822616408 /Target accuracy:0.789795918367347
Group 20 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 21 /Main accuracy:0.9780487804878049 /Target accuracy:0.9887755102040816
Group 22 /Main accuracy:0.5750554323725056 /Target accuracy:0.9897959183673469
Group 23 /Main accuracy:0.980709534368071 /Target accuracy:0.1469387755102041
Group 24 /Main accuracy:0.980709534368071 /Target accuracy:0.9897959183673469
Group 25 /Main accuracy:0.9800443458980045 /Target accuracy:0.7336734693877551
Group 26 /Main accuracy:0.9746119733924612 /Target accuracy:0.9785714285714285
Group 27 /Main accuracy:0.9804878048780488 /Target accuracy:0.9653061224489796
Group 28 /Main accuracy:0.5698447893569845 /Target accuracy:0.1489795918367347
Group 29 /Main accuracy:0.9784922394678492 /Target accuracy:0.7969387755102041
Group 30 /Main accuracy:0.10886917960088692 /Target accuracy:0.0
Group 31 /Main accuracy:0.9865853658536585 /Target accuracy:0.27040816326530615
Group 32 /Main accuracy:0.9764966740576496 /Target accuracy:0.9938775510204082
Group 33 /Main accuracy:0.9814855875831485 /Target accuracy:0.8306122448979592
Group 34 /Main accuracy:0.974390243902439 /Target accuracy:0.986734693877551
